         128073 function calls (127875 primitive calls) in 3.773 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27/10    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:174(getwidth)
       21    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       44    0.000    0.000    0.372    0.008 {method 'readline' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py:276(_optimize_charset)
       22    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:412(urlsplit)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       89    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:233(__next)
        3    0.000    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:2242(__init__)
        1    0.000    0.000    0.127    0.127 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/connection.py:356(connect)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       45    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:109(_coerce_args)
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.002    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/request.py:2557(_proxy_bypass_macosx_sysconf)
        3    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/url.py:330(parse_url)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       81    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/re.py:234(compile)
      616    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:975(name)
       84    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:633(value)
      275    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:908(_checkClosed)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/feedparser.py:471(_parse_headers)
       31    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:289(__call__)
       72    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:254(get)
        1    0.000    0.000    0.061    0.061 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:813(_create)
        9    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/url.py:303(<listcomp>)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/ssl_.py:250(create_urllib3_context)
       31    0.000    0.000    0.184    0.006 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/models.py:754(generate)
        1    0.000    0.000    0.680    0.680 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/sessions.py:626(send)
