         128047 function calls (127849 primitive calls) in 0.920 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.542    0.542 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/adapters.py:394(send)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        3    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/posixpath.py:232(expanduser)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:835(__or__)
       48    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:249(match)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/socket.py:139(__init__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/parser.py:59(parsestr)
        9    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/message.py:462(get)
        1    0.000    0.000    0.067    0.067 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/connection.py:38(create_connection)
       33    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/abc.py:137(__instancecheck__)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:805(_create_pseudo_member_)
       44    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:172(append)
       23    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/threading.py:243(__exit__)
       22    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/threading.py:255(_is_owned)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/socket.py:221(makefile)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:413(close)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/poolmanager.py:78(_default_key_normalizer)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:1255(__init__)
        1    0.000    0.000    0.002    0.002 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/sessions.py:430(prepare_request)
        1    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/__init__.py:51(lookup)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
       14    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_collections_abc.py:676(items)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:1073(putrequest)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/message.py:497(get_all)
        1    0.000    0.000    0.081    0.081 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/ssl_.py:355(ssl_wrap_socket)
        9    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/url.py:302(_idna_encode)
       18    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/_collections.py:215(add)
        1    0.000    0.000    0.837    0.837 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/api.py:64(get)
