         77102 function calls (76917 primitive calls) in 0.842 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/threading.py:335(notify)
       75    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1456(get)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:190(_hostinfo)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/encodings/idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:1089(getfullargspec)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2117(_signature_from_function)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:835(__or__)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:581(from_httplib)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:753(__init__)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:939(set_ok)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:1255(__init__)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:1383(_normalized_cookie_tuples)
        7    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/sessions.py:50(merge_setting)
        1    0.000    0.000    0.781    0.781 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/sessions.py:470(request)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:1264(_send_request)
        1    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/sessions.py:362(__init__)
       18    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.next}
     10/4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:224(http2time)
        3    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/cookies.py:508(cookiejar_from_dict)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:913(parse)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/socket.py:139(__init__)
        5    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:1218(putheader)
       21    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/feedparser.py:128(__next__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/feedparser.py:139(__init__)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:154(hostname)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.057    0.057 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/connection.py:38(create_connection)
        9    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/url.py:302(_idna_encode)
        2    0.000    0.000    0.001    0.001 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/_collections.py:92(clear)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:1005(set_ok_domain)
       52    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:805(_create_pseudo_member_)
       78    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1536(__eq__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/parser.py:41(parse)
        4    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/url.py:274(_normalize_host)
        8    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/posixpath.py:232(expanduser)
       14    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_collections_abc.py:676(items)
       42    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:249(match)
       47    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:254(get)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/contextlib.py:116(__exit__)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/feedparser.py:101(push)
       28    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/utils.py:51(_has_surrogates)
       45    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:98(_noop)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/calendar.py:655(timegm)
        7    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/utils.py:314(to_key_val_list)
